"Signature" "Category"
"LU_TUMOR_ENDOTHELIAL_MARKERS_UP" "KnownGenesets"
"StromalScore" "ESTIMATE"
"ImmuneScore" "ESTIMATE"
"ESTIMATEScore" "ESTIMATE"
"T cells" "MCPCounter"
"CD8 T cells" "MCPCounter"
"Cytotoxic lymphocytes" "MCPCounter"
"NK cells" "MCPCounter"
"B lineage" "MCPCounter"
"Monocytic lineage" "MCPCounter"
"Myeloid dendritic cells" "MCPCounter"
"Neutrophils" "MCPCounter"
"Endothelial cells" "MCPCounter"
"Fibroblasts" "MCPCounter"
