"Signature" "Category"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES" "MSigDB"
"REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT" "MSigDB"
"REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION" "MSigDB"
"REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE" "MSigDB"
"REACTOME_RNA_POL_I_PROMOTER_OPENING" "MSigDB"
"REACTOME_MEIOTIC_RECOMBINATION" "MSigDB"
"REACTOME_MEIOTIC_SYNAPSIS" "MSigDB"
"REACTOME_PACKAGING_OF_TELOMERE_ENDS" "MSigDB"
"TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_UP" "MSigDB"
"HAHTOLA_SEZARY_SYNDROM_DN" "MSigDB"
"HAHTOLA_MYCOSIS_FUNGOIDES_UP" "MSigDB"
"ZIRN_TRETINOIN_RESPONSE_WT1_DN" "MSigDB"
"WATTEL_AUTONOMOUS_THYROID_ADENOMA_UP" "MSigDB"
"SCHLESINGER_METHYLATED_IN_COLON_CANCER" "MSigDB"
"T_cell_inflamed_GEP" "KnownGenesets"
"CD8_T_effector" "KnownGenesets"
"DNA_damage_repair" "KnownGenesets"
"PanF_TBRS" "KnownGenesets"
"Antigen_processing_machinery" "KnownGenesets"
"Immune_checkpoint" "KnownGenesets"
"EMT_1" "KnownGenesets"
"FGFR3_related_genees" "KnownGenesets"
"KEGG_discovered_histones" "KnownGenesets"
"Angiogenesis" "KnownGenesets"
"Fanconi_anemia" "KnownGenesets"
"Cell_cycle" "KnownGenesets"
"DNA_replication" "KnownGenesets"
"Nucleotide_excision_repair" "KnownGenesets"
"Homologous_recombination" "KnownGenesets"
"Mismatch_repair" "KnownGenesets"
"EMT_2" "KnownGenesets"
"EMT_3" "KnownGenesets"
"WNT_target" "KnownGenesets"
"Cell_cycle_regulators" "KnownGenesets"
"MAINA_VHL_TARGETS_DN" "KnownGenesets"
"HARRIS_HYPOXIA" "KnownGenesets"
"MAPKi_INDUCED_ANGIOGENESIS" "KnownGenesets"
"EP_BLOOD_VESS_DEVEL_DN_IN_R" "KnownGenesets"
"MS_RESP_TO_HYPOXIA_UP_IN_MAPKi_aPDL1_NR" "KnownGenesets"
"LU_TUMOR_ANGIOGENESIS_UP" "KnownGenesets"
"CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN" "KnownGenesets"
"LEF1_UP.V1_UP" "KnownGenesets"
"LIEN_BREAST_CARCINOMA_METAPLASTIC" "KnownGenesets"
"MAHADEVAN_GIST_MORPHOLOGICAL_SWITCH" "KnownGenesets"
"MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR" "KnownGenesets"
"ROY_WOUND_BLOOD_VESSEL_UP" "KnownGenesets"
"VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP" "KnownGenesets"
"POST_OP_WOUNDHEALING" "KnownGenesets"
"WESTON_VEGFA_TARGETS_12HR" "KnownGenesets"
"WESTON_VEGFA_TARGETS_6HR" "KnownGenesets"
"MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP" "KnownGenesets"
"ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE" "KnownGenesets"
"MAPKi_INDUCED_EMT" "KnownGenesets"
"LU_TUMOR_VASCULATURE_UP" "KnownGenesets"
"LU_TUMOR_ENDOTHELIAL_MARKERS_UP" "KnownGenesets"
"StromalScore" "ESTIMATE"
"ImmuneScore" "ESTIMATE"
"ESTIMATEScore" "ESTIMATE"
"T cells" "MCPCounter"
"CD8 T cells" "MCPCounter"
"Cytotoxic lymphocytes" "MCPCounter"
"NK cells" "MCPCounter"
"B lineage" "MCPCounter"
"Monocytic lineage" "MCPCounter"
"Myeloid dendritic cells" "MCPCounter"
"Neutrophils" "MCPCounter"
"Endothelial cells" "MCPCounter"
"Fibroblasts" "MCPCounter"
